id,Latitude,Longitude,ToNde,Velocity,Capacity,Distance
-102,52.55313076901921,13.347128522851166,21537087+,8.333333333333334+,2000.0+,171.5659901974293+,
-108,52.553171503846535,13.419557312911511,29150076+,8.333333333333334+,1206.1+,338.3175837278453+,
-116,52.49742059962244,13.393828449357702,26747658+,8.333333333333334+,3359.0+,67.55604067193991+,
-118,52.49032495129465,13.418202601137487,29789698+,5.0+,810.5+,702.4725859524956+,
-120,52.49098189461289,13.415365441407959,21487237+,5.0+,1881.8+,57.15147740192192+,
-126,52.47723924326439,13.38582833345608,28096096+,8.333333333333334+,3437.4+,88.0858052371886+,
-128,52.425473186716026,13.487113916871932,148503980+,5.0+,1310.8+,30.0+,
-130,52.49908900024013,13.458658556179337,378206011+,8.333333333333334+,2906.4+,73.1159827467645+,
-132,52.50182124594693,13.449752335779415,29785480+,8.333333333333334+,2570.2+,36.60535871967269+,
-134,52.52123354286319,13.261258439394522,28552443+,8.333333333333334+,1011.4+,111.58839298641746+,
-136,52.50037407234645,13.43992455157182,38457825+,5.0+,1863.4+,63.1864275886296+,
-138,52.499578904015586,13.433378297616816,29276775+,8.333333333333334+,2009.8+,30.0+,
-140,52.53043713951306,13.411106406798941,262471607+,5.0+,535.6+,122.36113803555695+,
-142,52.530571124003494,13.41115230375347,519262750+,5.0+,1625.8+,30.0+,
-144,52.511030450808306,13.269164745363597,28552466+,8.333333333333334+,2259.0+,74.81210432277511+,
-146,52.43535634245677,13.25455943042945,26905930+,8.333333333333334+,2326.6+,30.0+,
-148,52.445270247355346,13.56552515892714,257743662+,8.333333333333334+,2066.8+,37.67954569277161+,
-150,52.50819411385114,13.435188933645698,29275853+,8.333333333333334+,2134.2+,37.069427535178136+,
-152,52.525706929401004,13.41859245730685,29266096+,5.0+,1194.0+,58.14392894304022+,
-158,52.546787641614685,13.544878550491953,203610808+,8.333333333333334+,1209.1+,182.70145871845958+,
-160,52.510109421619156,13.510690303974874,59368516+,8.333333333333334+,6009.0+,90.10805383929137+,
-162,52.554791183544964,13.393748537716464,27200063+,8.333333333333334+,2610.2+,30.0+,
-164,52.55291349373028,13.347122919767074,409801912+,5.0+,906.1+,367.8280364643364+,
-166,52.55153790698666,13.353853314641372,311181586+,8.333333333333334+,2696.2+,30.0+,
-168,52.5432137536478,13.337995612707424,26756749+,8.333333333333334+,1686.9+,158.56837797870773+,
-170,52.4555156220524,13.511123537501502,20246240+,8.333333333333334+,4723.4+,30.0+,
-172,52.59719335943934,13.332454986325017,21538138+,8.333333333333334+,2162.2+,30.0+,
-174,52.45223336385023,13.452359695325715,21538141+,8.333333333333334+,2384.8+,30.0+,
-176,52.41308463108585,13.4020175672698,443551444+,8.333333333333334+,1678.8+,114.55985679732365+,
-190,52.48400324986508,13.468883315208718,261022482+,8.333333333333334+,2034.4+,385.6465012120745+,
-192,52.51099750904522,13.322958603813351,26704036+,8.333333333333334+,2258.4+,30.0+,
-194,52.52452929776338,13.334560290222099,26984894+,5.0+,1201.0+,35.332160860953934+,
-196,52.52293539663767,13.363099850733144,26807679+,5.0+,541.2+,30.0+,
-198,52.52293390892437,13.361198371385179,26807680+,5.0+,296.3+,116.94889700565362+,
-200,52.52373895428344,13.355426255067908,26703850+,5.0+,883.9+,410.1573229017689+,
-202,52.537726988050835,13.22746674732601,26759374+,8.333333333333334+,1920.3+,718.9140985004904+,
-204,52.53758690372484,13.227503040673467,333022140+,8.333333333333334+,4378.8+,90.64450170950578+,
-212,52.533361889750005,13.195729054262893,26759737+,5.0+,1202.6+,88.77500150085942+,
-214,52.533113814256005,13.19629318446411,26759728+,5.0+,645.1+,136.21105979684367+,
-216,52.41376677602379,13.398470889669111,26705019+,5.0+,1801.2+,80.70789597339527+,
-218,52.53844903820779,13.425526169173567,29266244+,5.0+,963.8+,554.0979911951545+,
-222,52.53018237472184,13.425913683587952,29224783+,5.0+,1981.0+,69.02280820598934+,
-224,52.48931254092485,13.35920902672884,31389833+,8.333333333333334+,2440.4+,67.32944195491494+,
-226,52.48320136622182,13.291845034146345,26739103+,8.333333333333334+,1106.3+,177.97909562390552+,
-232,52.43113062514498,13.458229159261554,26723209+,8.333333333333334+,1195.7+,135.97602500510735+,
